,Baseline,Calibration,Regression
B1146,3.0311035791228207,0.3521939163177878,0.2348775518775695
B1150,2.9978996392550967,0.2979886909596735,0.1451248762714038
B1153,3.0892189350343164,0.2861868775788925,0.0644300774907281
B1168,0.9454678998130812,0.0986698663097632,0.1632010712867574
B1016,1.3777478529945304,0.2300547025760712,0.084206201402843
B1139,0.3818406475274248,0.023257777553349,0.0210804491578087
B1003,0.0062956831272386,0.1102743893534683,0.0962118745489182
B1063,0.9725791000917576,0.0563513443588204,0.1446720884410384
B1064,1.3373564398084192,0.1179698283945731,0.0187764176295874
B1296,1.889625387515392,0.0985903432741266,0.046073468538819
B1053,0.1507562272239877,0.0998023139262931,0.0118906945663913
B1055,0.7998557012017266,0.379006146339359,0.3574988327185051
B1052,0.9164542868880864,0.0505334871761469,0.015999490198301
B1050,0.6956220385541174,0.0653000730017293,0.062917415704524
B1005,0.0642750125286241,0.8932121638101539,0.7450012480692051
B1008,0.0262096131992729,0.0791456954659277,0.157011123692339
B1126,0.1616310172891901,0.0300790208423094,0.0470866213289653
B1135,1.1815963706633894,0.0911575892416093,0.1615125892613683
B1087,1.0555767478785896,3.34835151449732,2.681474956387909
B1103,0.7463928455212345,0.0267238139977617,0.0666403529721203
B1099,0.7173615589324296,0.5541437045386097,0.3895186515290757
B1115,0.3410053157494301,0.0693812316304628,0.1871467864995799
B1114,0.5562936260957734,0.9995046758365858,0.3203897980618803
B1142,0.1041208890367383,0.0494617384224718,0.01294274345029
B1102,0.600245809594151,0.0290461739238136,0.0185310267621333
B1104,0.3983950366690266,0.9993551109853294,0.999524637391638
B1105,0.3071159874950707,0.050053138601197,0.0364603785429643
B1107,0.057954696537263,0.0719765547482354,0.0217708785486266
B1108,4.206798850670574,0.9968582030276326,0.9973244165757852
B1109,0.5529687705876261,0.3875124755159103,0.284246414453396
B1138,3.080686995685863,0.9994579015626052,0.999356590964332
B1081,2.436809375904633,0.1122487087206208,0.0348654816486526
B1047,0.5909454264451122,0.0140840198970687,0.2310662942251475
B1286,2.100251520866334,0.1225195505237312,0.0101801483890928
B1026,0.4036870097503895,0.0656016319767721,0.022743517261755
